dossier_id,country,model_decision,final_human_decision,reviewer_confidence,override_of_model,override_reason,label_source,aware_category,amr_unmet_need,targets_mdr_pathogen,glass_resistance_trend,similarity_to_existing_watch,existing_watch_comparator
DOS-E0954EB116,Tanzania,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-28CB1BDB85,Uganda,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,access,routine,False,declining,low,not_applicable
DOS-75B4E0FD03,Tanzania,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-1C0E9CAF9A,Tanzania,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-CE22C9082B,Botswana,deep_review,deep_review,0.88,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-416F475864,Botswana,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-A4538E12AD,Burkina Faso,fast_track,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-331460F9FA,Burkina Faso,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-4C69FA1794,Tanzania,fast_track,fast_track,0.93,False,none,machine_adjudicated,access,routine,False,declining,low,not_applicable
DOS-1322878926,Uganda,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-E5E8A38546,Botswana,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-3FF5D208D8,Burkina Faso,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-438E58ABC3,Burkina Faso,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-853F9252B6,Uganda,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-DBD980901D,Burkina Faso,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-1E19639943,Botswana,standard_review,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-4D8225252F,Burkina Faso,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-799CFD96C6,Burkina Faso,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-27D5D83CBE,Uganda,fast_track,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-0CA47D950A,Botswana,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-A5F6448E70,Botswana,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,access,routine,False,stable,low,not_applicable
DOS-456D6AE455,Botswana,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-A8D8F45987,Tanzania,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-8470B1217C,Uganda,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-8E3DCD0743,Tanzania,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-4E59DBB000,Tanzania,fast_track,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,watch,routine,False,stable,low,azithromycin
DOS-E8A629F788,Botswana,fast_track,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,access,routine,False,stable,low,not_applicable
DOS-4F3752E31D,Tanzania,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-436242ECF8,Botswana,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-DAA8DD3E25,Botswana,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,reserve,critical,True,rising,not_applicable,not_applicable
DOS-2C771638E3,Botswana,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-B48A9EB73A,Uganda,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-A14776F5BF,Tanzania,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,watch,moderate,False,stable,moderate,levofloxacin
DOS-ADAD7C9B96,Burkina Faso,standard_review,standard_review,0.76,False,none,machine_adjudicated,access,routine,False,rising,low,not_applicable
DOS-88D0A499EB,Uganda,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-A85586AA52,Burkina Faso,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-741D3F3642,Botswana,standard_review,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-F2A921CC93,Tanzania,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-9388DC1B2D,Burkina Faso,deep_review,reject_and_return,0.97,True,policy_guardrail_escalation,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-0996F8657E,Burkina Faso,fast_track,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-10E12965A2,Tanzania,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-EF4F41FADB,Burkina Faso,fast_track,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-29C783BAB9,Tanzania,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-2186AF45A5,Uganda,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-3F9AF6EB97,Tanzania,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-401755DFE0,Uganda,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-1F38179319,Botswana,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,access,routine,False,stable,low,not_applicable
DOS-23832FD4EC,Burkina Faso,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-420E764509,Botswana,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-FD2FCB9FC1,Burkina Faso,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-62EF364D37,Burkina Faso,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-76EB3995BA,Tanzania,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,watch,routine,False,stable,low,lincomycin
DOS-24B7AE1B81,Botswana,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-E1CBCC6C49,Tanzania,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-FEDAF45FE8,Burkina Faso,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-08AA0EE80D,Botswana,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-AF777A70F6,Uganda,standard_review,standard_review,0.76,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-E3420C9528,Botswana,fast_track,fast_track,0.93,False,none,machine_adjudicated,access,routine,False,declining,low,not_applicable
DOS-044E60491E,Uganda,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,access,routine,False,declining,low,not_applicable
DOS-CF04B6DA45,Tanzania,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-EA09777464,Uganda,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-C158DDD49D,Botswana,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-7944916355,Botswana,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-66B87C66CE,Tanzania,fast_track,fast_track,0.93,False,none,machine_adjudicated,watch,routine,False,declining,moderate,gentamicin
DOS-9D86A15744,Botswana,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-EC2D939654,Tanzania,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-A52DA06098,Burkina Faso,fast_track,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,watch,routine,False,stable,high,gentamicin
DOS-827D8BDE6B,Uganda,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-3E8C48BE8B,Tanzania,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-D6F780182D,Uganda,standard_review,standard_review,0.76,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-5A772CFD37,Uganda,deep_review,deep_review,0.88,False,none,machine_adjudicated,watch,moderate,False,rising,low,ampicillin
DOS-C8A675AB21,Botswana,deep_review,deep_review,0.88,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-6DDA0B00C8,Botswana,fast_track,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-9DC5627876,Tanzania,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-C1C7D557BB,Tanzania,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-44EA8336AF,Burkina Faso,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-F1E8AC0BA5,Uganda,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-7EFBD823EC,Tanzania,fast_track,deep_review,0.82,True,policy_guardrail_escalation,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-1D82E337C8,Burkina Faso,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-3819702FE8,Botswana,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-1F6989483D,Tanzania,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-45D07324EF,Botswana,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-23D126E0AD,Uganda,fast_track,fast_track,0.93,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-24ED95D37A,Uganda,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,access,routine,False,stable,low,not_applicable
DOS-AD56E12C2C,Uganda,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-AEA88C2A4F,Burkina Faso,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-C382FC2583,Uganda,standard_review,standard_review,0.76,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
DOS-42FD8F9264,Uganda,reject_and_return,reject_and_return,0.97,False,none,machine_adjudicated,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable
