dossier_id,country,holistic_policy_decision,risk_score,compliant_submission,inn_infringement,gmp_inspection_status,gmp_inspection_recent,gmp_certificate_validity,clinical_data_available,pivotal_trial_outcome,aware_category,amr_unmet_need,targets_mdr_pathogen,glass_resistance_trend,similarity_to_existing_watch,existing_watch_comparator,defect_modes
DOS-F5561C66B6,Burkina Faso,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-94CFE8A1DA,Tanzania,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-A7A1F8FBAA,Tanzania,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-75F05CAAF1,Botswana,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-9FAD5BEA73,Uganda,reject_and_return,0.92,False,True,compliant,True,valid,True,endpoint_not_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_failed|inn_infringement
DOS-A32097B8BF,Uganda,reject_and_return,0.92,False,True,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,inn_infringement
DOS-54F047F2BA,Botswana,deep_review,0.78,False,False,compliant,False,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,gmp_outdated
DOS-E51BDFC64D,Burkina Faso,deep_review,0.74,False,False,compliant,False,valid,True,endpoint_met,watch,moderate,False,rising,high,gentamicin,gmp_outdated
DOS-43AE555D73,Burkina Faso,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-ED02AD776D,Tanzania,reject_and_return,0.92,False,False,compliant,False,expired,True,endpoint_met,watch,routine,False,rising,low,erythromycin,gmp_outdated
DOS-7C2921DD85,Tanzania,deep_review,0.78,False,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,missing_section
DOS-53475E9F03,Burkina Faso,reject_and_return,0.92,False,False,compliant,False,valid,False,missing_evidence,reserve,critical,True,rising,not_applicable,not_applicable,clinical_missing|gmp_outdated
DOS-23832FD4EC,Burkina Faso,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-94FE122554,Botswana,reject_and_return,0.92,False,False,compliant,True,expired,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,gmp_certificate_expired|missing_section
DOS-787F74C157,Botswana,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-6CFBF330A2,Tanzania,reject_and_return,0.92,False,False,compliant,True,valid,False,missing_evidence,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_missing
DOS-2EEBD2E7ED,Tanzania,reject_and_return,0.92,False,False,compliant,False,valid,False,missing_evidence,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_missing|gmp_outdated
DOS-B84ED6D2E4,Burkina Faso,reject_and_return,0.92,False,False,compliant,True,valid,False,missing_evidence,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_missing
DOS-294BB517FC,Uganda,deep_review,0.78,False,False,compliant,False,valid,True,endpoint_met,access,routine,False,stable,low,not_applicable,gmp_outdated
DOS-2BE0372376,Burkina Faso,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-3AB2150B44,Botswana,reject_and_return,0.92,False,True,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,inn_infringement
DOS-47B676C037,Botswana,reject_and_return,0.92,False,True,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,inn_infringement
DOS-3494182045,Uganda,reject_and_return,0.92,False,False,compliant,True,expired,True,endpoint_met,access,routine,False,stable,low,not_applicable,gmp_certificate_expired|missing_section
DOS-0E9CF922B5,Burkina Faso,reject_and_return,0.92,False,True,compliant,False,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,gmp_outdated|inn_infringement
DOS-FB036BC2D5,Tanzania,fast_track,0.28,False,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,missing_section
DOS-EA09777464,Uganda,reject_and_return,0.92,False,False,compliant,True,valid,True,endpoint_not_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_failed
DOS-9B0E69CFDD,Uganda,deep_review,0.78,False,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,missing_section
DOS-3E4459D172,Botswana,reject_and_return,0.92,False,True,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,inn_infringement
DOS-23F5F5155C,Tanzania,deep_review,0.78,False,False,compliant,True,valid,True,endpoint_met,access,routine,False,stable,low,not_applicable,missing_section
DOS-DA19695C78,Burkina Faso,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-97F47AD761,Tanzania,reject_and_return,0.92,False,False,non_compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,gmp_non_compliant|missing_section
DOS-2C5D68A247,Tanzania,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-6DDA0B00C8,Botswana,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-17482CB20A,Tanzania,reject_and_return,0.92,False,False,compliant,False,expired,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,gmp_outdated
DOS-7126ABCC85,Burkina Faso,reject_and_return,0.92,False,False,non_compliant,True,expired,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,gmp_certificate_expired|gmp_non_compliant
DOS-A9A65FAD7C,Burkina Faso,reject_and_return,0.92,False,False,non_compliant,True,expired,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,gmp_certificate_expired|gmp_non_compliant|missing_section
DOS-1112EB8829,Burkina Faso,standard_review,0.64,False,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,short_section
DOS-7B7592BD64,Tanzania,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-DB46FC27A3,Botswana,deep_review,0.74,True,False,compliant,True,valid,True,endpoint_met,watch,moderate,False,rising,high,lincomycin,
DOS-0996F8657E,Burkina Faso,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-C80ECC466A,Tanzania,reject_and_return,0.92,False,True,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,inn_infringement
DOS-6E3ECDCFA6,Uganda,reject_and_return,0.92,False,True,non_compliant,True,valid,False,missing_evidence,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_missing|gmp_non_compliant|inn_infringement
DOS-D762F599A3,Uganda,reject_and_return,0.92,False,True,compliant,True,valid,True,endpoint_met,access,routine,False,rising,low,not_applicable,inn_infringement
DOS-D339ED5384,Burkina Faso,deep_review,0.78,False,False,compliant,False,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,gmp_outdated
DOS-5A0E2D680E,Uganda,reject_and_return,0.92,True,False,compliant,True,expired,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-030554543C,Botswana,reject_and_return,0.92,False,False,non_compliant,True,valid,False,missing_evidence,watch,routine,False,stable,low,erythromycin,clinical_missing|gmp_non_compliant
DOS-6AFDC50134,Botswana,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-EC28853A3D,Uganda,reject_and_return,0.92,False,True,compliant,True,valid,True,endpoint_not_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_failed|inn_infringement
DOS-E76FA5C1A9,Burkina Faso,reject_and_return,0.92,False,False,compliant,True,valid,True,endpoint_not_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_failed
DOS-D32C4142C5,Burkina Faso,reject_and_return,0.92,False,False,compliant,True,valid,False,missing_evidence,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_missing
DOS-5A772CFD37,Uganda,deep_review,0.78,False,False,compliant,False,valid,True,endpoint_met,watch,moderate,False,rising,low,ampicillin,gmp_outdated
DOS-5C4B823923,Tanzania,reject_and_return,0.92,True,False,compliant,True,expired,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-2374AA1400,Uganda,reject_and_return,0.92,False,False,non_compliant,True,expired,True,endpoint_not_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_failed|gmp_non_compliant
DOS-AF9D355D66,Uganda,reject_and_return,0.92,False,True,compliant,True,valid,True,endpoint_not_met,watch,routine,False,declining,moderate,gentamicin,clinical_failed|inn_infringement
DOS-A7AEF71BE3,Tanzania,reject_and_return,0.92,True,False,compliant,True,expired,True,endpoint_met,watch,routine,False,rising,moderate,cefotaxime,
DOS-3826BDF906,Uganda,reject_and_return,0.92,False,True,non_compliant,False,expired,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,gmp_certificate_expired|gmp_non_compliant|inn_infringement
DOS-7792E58907,Uganda,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-E0F148E7B0,Tanzania,reject_and_return,0.92,False,False,compliant,True,valid,False,missing_evidence,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_missing|short_section
DOS-9611DF79DC,Tanzania,reject_and_return,0.92,False,True,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,inn_infringement
DOS-3872DCA2EA,Tanzania,reject_and_return,0.92,False,False,non_compliant,True,valid,False,missing_evidence,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_missing|gmp_non_compliant
DOS-3F452540F5,Burkina Faso,reject_and_return,0.92,False,False,non_compliant,False,valid,True,endpoint_met,access,routine,False,declining,low,not_applicable,gmp_non_compliant
DOS-8F76099047,Botswana,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-2A82480FB3,Tanzania,reject_and_return,0.92,False,True,non_compliant,False,valid,False,missing_evidence,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_missing|gmp_non_compliant|inn_infringement
DOS-74A01ADF68,Tanzania,reject_and_return,0.92,False,False,compliant,True,expired,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,gmp_certificate_expired
DOS-FF92D4FFED,Burkina Faso,reject_and_return,0.92,False,False,compliant,True,expired,False,missing_evidence,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_missing|gmp_certificate_expired
DOS-357CE091CE,Tanzania,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-54F6338037,Botswana,reject_and_return,0.92,False,False,compliant,True,valid,True,endpoint_not_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_failed
DOS-EC612B682B,Botswana,reject_and_return,0.92,False,True,non_compliant,False,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,gmp_non_compliant|inn_infringement|missing_section
DOS-4CAA048C80,Uganda,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-0E83FA4972,Tanzania,reject_and_return,0.92,False,False,non_compliant,False,expired,True,endpoint_not_met,watch,routine,False,rising,low,cefotaxime,clinical_failed|gmp_certificate_expired|gmp_non_compliant
DOS-FB47E299C0,Tanzania,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,access,routine,False,rising,low,not_applicable,
DOS-5D78B28E96,Tanzania,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-3F9AF6EB97,Tanzania,reject_and_return,0.92,False,False,compliant,False,valid,False,missing_evidence,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_missing|gmp_outdated|missing_section
DOS-6F4A092DD6,Tanzania,deep_review,0.78,False,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,missing_section
DOS-E64D5E1448,Botswana,deep_review,0.78,False,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,short_section
DOS-FCB9A9AE2E,Uganda,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,watch,moderate,False,stable,high,cefotaxime,
DOS-1D5D70317B,Uganda,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-B8FACDC71C,Uganda,reject_and_return,0.92,False,False,compliant,True,valid,True,endpoint_not_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_failed|short_section
DOS-9F27F5A727,Burkina Faso,reject_and_return,0.92,False,False,compliant,True,valid,True,endpoint_not_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_failed
DOS-887206CD97,Tanzania,reject_and_return,0.92,False,False,non_compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,gmp_non_compliant|missing_section
DOS-02CF48F1D8,Botswana,reject_and_return,0.92,False,False,compliant,True,valid,True,endpoint_not_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_failed|missing_section
DOS-42A1BA05D9,Burkina Faso,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-7B22BE10B0,Tanzania,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-2325F6BA2F,Uganda,reject_and_return,0.92,False,True,compliant,True,expired,False,missing_evidence,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_missing|gmp_certificate_expired|inn_infringement
DOS-4D743C22EB,Tanzania,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-F093AE0FD9,Burkina Faso,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,access,routine,False,declining,low,not_applicable,
DOS-B67055120E,Tanzania,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-DBB8B687C2,Botswana,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-7540DBE78D,Burkina Faso,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,access,routine,False,declining,low,not_applicable,
DOS-61BDDCEFA2,Burkina Faso,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-1358E89593,Tanzania,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-1E19639943,Botswana,standard_review,0.64,False,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,short_section
DOS-C79EA9C03A,Burkina Faso,reject_and_return,0.92,False,True,compliant,True,valid,False,missing_evidence,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_missing|inn_infringement|missing_section
DOS-B7695253AC,Burkina Faso,reject_and_return,0.92,False,False,compliant,True,expired,True,endpoint_met,watch,routine,False,rising,high,ampicillin,short_section
DOS-3F994E7750,Uganda,reject_and_return,0.92,False,False,non_compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,gmp_non_compliant
DOS-79770737DD,Botswana,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-BB29FEFC37,Burkina Faso,reject_and_return,0.92,False,False,compliant,True,expired,True,endpoint_not_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_failed|gmp_certificate_expired
DOS-F7B6F7CA86,Botswana,reject_and_return,0.92,False,True,compliant,True,valid,True,endpoint_not_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_failed|inn_infringement|missing_section
DOS-3AB33A844A,Uganda,reject_and_return,0.92,False,False,non_compliant,False,expired,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,gmp_certificate_expired|gmp_non_compliant
DOS-D598DBD52C,Uganda,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-C23FE09507,Uganda,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,watch,routine,False,declining,moderate,erythromycin,
DOS-0476427419,Uganda,reject_and_return,0.92,False,False,compliant,True,expired,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,gmp_certificate_expired|missing_section
DOS-B895335D64,Botswana,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-D97FB7C728,Tanzania,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-9C8BDBF6EC,Uganda,reject_and_return,0.92,False,False,compliant,True,valid,True,endpoint_not_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_failed
DOS-54237EDFF5,Tanzania,reject_and_return,0.92,False,False,compliant,True,valid,False,missing_evidence,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_missing
DOS-96812BAA9C,Uganda,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-3819702FE8,Botswana,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-21F1DA5A19,Burkina Faso,reject_and_return,0.92,False,False,non_compliant,False,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,gmp_non_compliant
DOS-285617E753,Botswana,reject_and_return,0.92,False,False,non_compliant,True,valid,True,endpoint_not_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_failed|gmp_non_compliant
DOS-7E4D524696,Botswana,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-C06CA81DD8,Burkina Faso,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-E93B52CB76,Burkina Faso,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-291BF85DAF,Burkina Faso,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-B7E09EF150,Botswana,reject_and_return,0.92,False,False,compliant,True,valid,False,missing_evidence,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_missing|missing_section
DOS-AA27C76541,Burkina Faso,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-E3E9CBC9DD,Uganda,reject_and_return,0.92,False,False,non_compliant,False,valid,True,endpoint_not_met,watch,routine,False,rising,moderate,ciprofloxacin,clinical_failed|gmp_non_compliant|missing_section
DOS-2F23C3A6B0,Burkina Faso,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-72B57FB083,Tanzania,reject_and_return,0.92,False,True,compliant,True,valid,False,missing_evidence,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_missing|inn_infringement
DOS-16E8F43449,Burkina Faso,reject_and_return,0.92,False,False,non_compliant,False,valid,True,endpoint_met,watch,routine,False,rising,high,erythromycin,gmp_non_compliant
DOS-1CD755E66A,Burkina Faso,reject_and_return,0.92,False,False,compliant,False,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,gmp_outdated|missing_section|short_section
DOS-24B7AE1B81,Botswana,reject_and_return,0.92,False,False,non_compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,gmp_non_compliant
DOS-762C655ACB,Uganda,reject_and_return,0.92,False,False,compliant,True,valid,False,missing_evidence,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_missing
DOS-D8359F083F,Burkina Faso,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-FD25B48DDF,Tanzania,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-4A7F30C6BF,Botswana,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,watch,routine,False,rising,moderate,erythromycin,
DOS-06759559DE,Burkina Faso,reject_and_return,0.92,False,False,compliant,False,valid,False,missing_evidence,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_missing|gmp_outdated
DOS-401755DFE0,Uganda,fast_track,0.28,True,False,compliant,True,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,
DOS-54D4B17B03,Uganda,deep_review,0.74,True,False,compliant,True,valid,True,endpoint_met,watch,routine,False,rising,high,azithromycin,
DOS-3583DDDAA8,Botswana,deep_review,0.78,False,False,compliant,False,valid,True,endpoint_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,gmp_outdated
DOS-0F6D121EE2,Tanzania,reject_and_return,0.92,False,False,non_compliant,False,valid,False,missing_evidence,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_missing|gmp_non_compliant|missing_section
DOS-20C06F820E,Uganda,reject_and_return,0.92,False,False,compliant,True,valid,True,endpoint_not_met,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_failed|missing_section
DOS-908CD05C30,Burkina Faso,reject_and_return,0.92,False,False,compliant,True,expired,True,endpoint_met,access,routine,False,stable,low,not_applicable,gmp_certificate_expired
DOS-C4CCF9FB68,Botswana,reject_and_return,0.92,False,False,compliant,True,valid,True,endpoint_not_met,watch,routine,False,rising,high,cefotaxime,clinical_failed|missing_section
DOS-F85A80DD94,Uganda,reject_and_return,0.92,False,False,compliant,False,valid,False,missing_evidence,not_applicable,not_applicable,False,not_applicable,not_applicable,not_applicable,clinical_missing|gmp_outdated
